canonical_id	representative_accession	representative_source	gcf_accession	gca_accession	pair_status	organism_name	tax_id	strain	assembly_level	assembly_status	refseq_category	genome_size_bp	gc_percent	number_of_contigs	number_of_scaffolds	contig_n50	scaffold_n50	bioproject_accession	biosample_accession	submitter	release_date
CANON_00394	GCF_025961155.1	REFSEQ	GCF_025961155.1	GCA_025961155.1	paired	Bradyrhizobium elkanii	29448	USDA 120	Contig	current		9660651	63.5	3	3	7582079	7582079	PRJNA834291	SAMN28058248	DOE Joint Genome Institute	2022-11-02
CANON_00395	GCF_025961175.1	REFSEQ	GCF_025961175.1	GCA_025961175.1	paired	Bradyrhizobium elkanii	29448	USDA 100	Contig	current		9850659	63.5	3	3	9358810	9358810	PRJNA834281	SAMN28058322	DOE Joint Genome Institute	2022-11-02
CANON_00396	GCF_025961655.1	REFSEQ	GCF_025961655.1	GCA_025961655.1	paired	Bradyrhizobium elkanii	29448	USDA 119	Contig	current		9824410	63.5	2	2	9531140	9531140	PRJNA834290	SAMN28058229	DOE Joint Genome Institute	2022-11-02
CANON_00397	GCF_025961675.1	REFSEQ	GCF_025961675.1	GCA_025961675.1	paired	Bradyrhizobium elkanii	29448	USDA 99b	Contig	current		9688482	64	2	2	9473387	9473387	PRJNA834280	SAMN28058296	DOE Joint Genome Institute	2022-11-02
CANON_00398	GCF_029893425.1	REFSEQ	GCF_029893425.1	GCA_029893425.1	paired	Bradyrhizobium elkanii	29448	USDA 47	Contig	current		9525084	63.5	2	2	9228038	9228038	PRJNA893722	SAMN31439214	DOE Joint Genome Institute	2023-04-28
CANON_00399	GCF_030583585.1	REFSEQ	GCF_030583585.1	GCA_030583585.1	paired	Bradyrhizobium elkanii	29448	K07G-Be	Complete Genome	current		9809455	63.5	2	2	9513165	9513165	PRJNA962160	SAMN34405180	VEIL Bradyrhizobium group	2023-08-02
CANON_00400	GCF_030584565.1	REFSEQ	GCF_030584565.1	GCA_030584565.1	paired	Bradyrhizobium elkanii	29448	S15H-Be	Complete Genome	current		9993776	63.5	2	2	9711309	9711309	PRJNA962167	SAMN34405183	VEIL Bradyrhizobium group	2023-08-02
CANON_00401	GCF_030584725.1	REFSEQ	GCF_030584725.1	GCA_030584725.1	paired	Bradyrhizobium elkanii	29448	K03I-Be	Complete Genome	current		9249796	64	1	1	9249796	9249796	PRJNA962161	SAMN34405179	VEIL Bradyrhizobium group	2023-08-02
CANON_00402	GCF_030584765.1	REFSEQ	GCF_030584765.1	GCA_030584765.1	paired	Bradyrhizobium elkanii	29448	S07J-Be	Complete Genome	current		9563136	63.5	1	1	9563136	9563136	PRJNA962168	SAMN34405182	VEIL Bradyrhizobium group	2023-08-02
CANON_00403	GCF_030585125.1	REFSEQ	GCF_030585125.1	GCA_030585125.1	paired	Bradyrhizobium elkanii	29448	USDA 31-Be	Complete Genome	current		10320385	63.5	3	3	9958600	9958600	PRJNA962165	SAMN34405184	VEIL Bradyrhizobium group	2023-08-02
CANON_00404	GCF_030585185.1	REFSEQ	GCF_030585185.1	GCA_030585185.1	paired	Bradyrhizobium elkanii	29448	K03D-Be	Complete Genome	current		9982772	63.5	3	3	9542673	9542673	PRJNA962162	SAMN34405178	VEIL Bradyrhizobium group	2023-08-02
CANON_00405	GCF_030585205.1	REFSEQ	GCF_030585205.1	GCA_030585205.1	paired	Bradyrhizobium elkanii	29448	S05J-Be	Complete Genome	current		9644547	63.5	2	2	9270465	9270465	PRJNA962169	SAMN34405181	VEIL Bradyrhizobium group	2023-08-02
CANON_00406	GCF_036936725.1	REFSEQ	GCF_036936725.1	GCA_036936725.1	paired	Bradyrhizobium elkanii	29448	SEMIA 587	Contig	current		9766534	63.5	9	9	2407836	2407836	PRJNA484202	SAMN09761225	University of Regina	2024-03-01
CANON_00407	GCF_036936785.1	REFSEQ	GCF_036936785.1	GCA_036936785.1	paired	Bradyrhizobium elkanii	29448	SEMIA 5019	Contig	current		9673075	63.5	2	2	9364972	9364972	PRJNA484202	SAMN09761226	University of Regina	2024-03-01
CANON_00408	GCF_040544245.1	REFSEQ	GCF_040544245.1	GCA_040544245.1	paired	Bradyrhizobium elkanii	29448	USDA 131	Contig	current		9481321	63.5	2	2	9113225	9113225	PRJNA1115738	SAMN41513974	DOE Joint Genome Institute	2024-07-08
CANON_00409	GCF_040549505.1	REFSEQ	GCF_040549505.1	GCA_040549505.1	paired	Bradyrhizobium elkanii	29448	USDA 121	Contig	current		9525877	63.5	2	2	9228813	9228813	PRJNA1115337	SAMN41513465	DOE Joint Genome Institute	2024-07-08
CANON_00410	GCF_041260235.1	REFSEQ	GCF_041260235.1	GCA_041260235.1	paired	Bradyrhizobium elkanii	29448	USDA 271	Contig	current		9872305	63.5	3	3	9560958	9560958	PRJNA1115719	SAMN41514011	DOE Joint Genome Institute	2024-08-13
CANON_00411	GCF_041260275.1	REFSEQ	GCF_041260275.1	GCA_041260275.1	paired	Bradyrhizobium elkanii	29448	USDA 312	Contig	current		9590647	63.5	2	2	9292986	9292986	PRJNA1115725	SAMN41514019	DOE Joint Genome Institute	2024-08-13
CANON_00412	GCF_041260305.1	REFSEQ	GCF_041260305.1	GCA_041260305.1	paired	Bradyrhizobium elkanii	29448	USDA 238	Contig	current		9892621	63.5	3	3	9493799	9493799	PRJNA1115711	SAMN41513976	DOE Joint Genome Institute	2024-08-13
CANON_00413	GCF_041260425.1	REFSEQ	GCF_041260425.1	GCA_041260425.1	paired	Bradyrhizobium elkanii	29448	USDA 414	Contig	current		9836467	63.5	4	4	9114566	9114566	PRJNA1115728	SAMN41514016	DOE Joint Genome Institute	2024-08-13
CANON_00414	GCF_041260645.1	REFSEQ	GCF_041260645.1	GCA_041260645.1	paired	Bradyrhizobium elkanii	29448	USDA 260	Contig	current		9895073	63.5	3	3	9496254	9496254	PRJNA1115714	SAMN41513967	DOE Joint Genome Institute	2024-08-13
CANON_00415	GCF_041260705.1	REFSEQ	GCF_041260705.1	GCA_041260705.1	paired	Bradyrhizobium elkanii	29448	USDA 272	Contig	current		9917063	63.5	4	4	9366378	9366378	PRJNA1115720	SAMN41514018	DOE Joint Genome Institute	2024-08-13
CANON_00416	GCF_041260725.1	REFSEQ	GCF_041260725.1	GCA_041260725.1	paired	Bradyrhizobium elkanii	29448	USDA 275	Contig	current		9869151	63.5	3	3	9375107	9375107	PRJNA1115721	SAMN41513980	DOE Joint Genome Institute	2024-08-13
CANON_00417	GCF_041260765.1	REFSEQ	GCF_041260765.1	GCA_041260765.1	paired	Bradyrhizobium elkanii	29448	USDA 421	Contig	current		9749810	63.5	3	3	9273925	9273925	PRJNA1115733	SAMN41514005	DOE Joint Genome Institute	2024-08-13
CANON_00418	GCF_041260945.1	REFSEQ	GCF_041260945.1	GCA_041260945.1	paired	Bradyrhizobium elkanii	29448	USDA 310	Contig	current		9729526	63.5	2	2	9432944	9432944	PRJNA1115724	SAMN41513979	DOE Joint Genome Institute	2024-08-13
CANON_00419	GCF_041261045.1	REFSEQ	GCF_041261045.1	GCA_041261045.1	paired	Bradyrhizobium elkanii	29448	USDA 269	Contig	current		9526870	63.5	2	2	9253897	9253897	PRJNA1115715	SAMN41514033	DOE Joint Genome Institute	2024-08-13
CANON_00420	GCF_041261245.1	REFSEQ	GCF_041261245.1	GCA_041261245.1	paired	Bradyrhizobium elkanii	29448	USDA 415	Contig	current		9914123	63.5	2	2	9618424	9618424	PRJNA1115729	SAMN41513997	DOE Joint Genome Institute	2024-08-13
CANON_00421	GCF_041261345.1	REFSEQ	GCF_041261345.1	GCA_041261345.1	paired	Bradyrhizobium elkanii	29448	USDA 420	Contig	current		9944818	63.5	3	3	9452723	9452723	PRJNA1115732	SAMN41514026	DOE Joint Genome Institute	2024-08-13
CANON_00422	GCF_041261425.1	REFSEQ	GCF_041261425.1	GCA_041261425.1	paired	Bradyrhizobium elkanii	29448	USDA 270	Contig	current		9866265	63.5	2	2	9567212	9567212	PRJNA1115718	SAMN41513986	DOE Joint Genome Institute	2024-08-13
CANON_00423	GCF_041261585.1	REFSEQ	GCF_041261585.1	GCA_041261585.1	paired	Bradyrhizobium elkanii	29448	USDA 334	Contig	current		9700130	63.5	6	6	6217216	6217216	PRJNA1115727	SAMN41514010	DOE Joint Genome Institute	2024-08-13
CANON_00424	GCF_041262045.1	REFSEQ	GCF_041262045.1	GCA_041262045.1	paired	Bradyrhizobium elkanii	29448	USDA 259	Contig	current		9893301	63.5	3	3	9494485	9494485	PRJNA1115713	SAMN41513996	DOE Joint Genome Institute	2024-08-13
CANON_00425	GCF_041262225.1	REFSEQ	GCF_041262225.1	GCA_041262225.1	paired	Bradyrhizobium elkanii	29448	USDA 227	Contig	current		9470854	64	2	2	9171661	9171661	PRJNA1115707	SAMN41513978	DOE Joint Genome Institute	2024-08-13
CANON_00426	GCF_041262245.1	REFSEQ	GCF_041262245.1	GCA_041262245.1	paired	Bradyrhizobium elkanii	29448	USDA 331	Contig	current		9868698	63.5	3	3	9374946	9374946	PRJNA1115726	SAMN41514020	DOE Joint Genome Institute	2024-08-13
CANON_00427	GCF_041262325.1	REFSEQ	GCF_041262325.1	GCA_041262325.1	paired	Bradyrhizobium elkanii	29448	USDA 309	Contig	current		9631122	63.5	2	2	9333666	9333666	PRJNA1115723	SAMN41514015	DOE Joint Genome Institute	2024-08-13
CANON_00428	GCF_041262445.1	REFSEQ	GCF_041262445.1	GCA_041262445.1	paired	Bradyrhizobium elkanii	29448	USDA 416	Contig	current		9609409	63.5	2	2	9310507	9310507	PRJNA1115730	SAMN41514001	DOE Joint Genome Institute	2024-08-13
CANON_00429	GCF_044909045.1	REFSEQ	GCF_044909045.1	GCA_044909045.1	paired	Bradyrhizobium elkanii	29448	USDA 419	Contig	current		9697339	63.5	2	2	9402277	9402277	PRJNA1115731	SAMN41514004	DOE Joint Genome Institute	2024-11-14
CANON_00430	GCF_044909275.1	REFSEQ	GCF_044909275.1	GCA_044909275.1	paired	Bradyrhizobium elkanii	29448	USDA 252	Contig	current		9892473	63.5	3	3	9493654	9493654	PRJNA1115712	SAMN41513966	DOE Joint Genome Institute	2024-11-14
CANON_00431	GCF_044909735.1	REFSEQ	GCF_044909735.1	GCA_044909735.1	paired	Bradyrhizobium elkanii	29448	USDA 144	Contig	current		9861903	63.5	2	2	9562839	9562839	PRJNA1115749	SAMN41514032	DOE Joint Genome Institute	2024-11-14
CANON_00432	GCF_050435485.1	REFSEQ	GCF_050435485.1	GCA_050435485.1	paired	Bradyrhizobium elkanii	29448	USDA 225	Contig	current		9761609	63.5	2	2	9510390	9510390	PRJNA1115706	SAMN41513985	DOE Joint Genome Institute	2025-05-19
CANON_00433	GCF_053628735.1	REFSEQ	GCF_053628735.1	GCA_053628735.1	paired	Bradyrhizobium elkanii	29448	USDA 347	Contig	current		9724523	63.5	2	2	9430109	9430109	PRJNA1143007	SAMN42992204	DOE Joint Genome Institute	2025-11-24
CANON_00434	GCF_053629055.1	REFSEQ	GCF_053629055.1	GCA_053629055.1	paired	Bradyrhizobium elkanii	29448	USDA 352	Contig	current		9270875	64	1	1	9270875	9270875	PRJNA1143009	SAMN42992216	DOE Joint Genome Institute	2025-11-24
CANON_00435	GCF_053629475.1	REFSEQ	GCF_053629475.1	GCA_053629475.1	paired	Bradyrhizobium elkanii	29448	USDA 373	Contig	current		9524553	63.5	2	2	9227396	9227396	PRJNA1143011	SAMN42992201	DOE Joint Genome Institute	2025-11-24
CANON_00436	GCF_053629615.1	REFSEQ	GCF_053629615.1	GCA_053629615.1	paired	Bradyrhizobium elkanii	29448	USDA 340	Contig	current		9768367	63.5	2	2	9473738	9473738	PRJNA1143006	SAMN42992215	DOE Joint Genome Institute	2025-11-24
CANON_00437	GCF_053629735.1	REFSEQ	GCF_053629735.1	GCA_053629735.1	paired	Bradyrhizobium elkanii	29448	USDA 351	Contig	current		9784582	63.5	2	2	9482816	9482816	PRJNA1143008	SAMN42992221	DOE Joint Genome Institute	2025-11-24
CANON_00438	GCF_053629775.1	REFSEQ	GCF_053629775.1	GCA_053629775.1	paired	Bradyrhizobium elkanii	29448	USDA 364	Contig	current		8953033	64	4	4	5846023	5846023	PRJNA1143010	SAMN42992210	DOE Joint Genome Institute	2025-11-24
CANON_00439	GCF_053629815.1	REFSEQ	GCF_053629815.1	GCA_053629815.1	paired	Bradyrhizobium elkanii	29448	USDA 410	Contig	current		9664988	64	2	2	9449891	9449891	PRJNA1143013	SAMN42992205	DOE Joint Genome Institute	2025-11-24
CANON_00440	GCF_053629835.1	REFSEQ	GCF_053629835.1	GCA_053629835.1	paired	Bradyrhizobium elkanii	29448	USDA 387	Contig	current		9528534	63.5	2	2	9231477	9231477	PRJNA1143012	SAMN42992195	DOE Joint Genome Institute	2025-11-24
CANON_00441	GCF_054061995.1	REFSEQ	GCF_054061995.1	GCA_054061995.1	paired	Bradyrhizobium elkanii	29448	USDA 4464	Contig	current		10070137	63.5	2	2	9775365	9775365	PRJNA1354048	SAMN52938822	DOE Joint Genome Institute	2025-12-17
CANON_00442	GCF_054822345.1	REFSEQ	GCF_054822345.1	GCA_054822345.1	paired	Bradyrhizobium elkanii	29448	USDA 471	Contig	current		9633786	63.5	2	2	9336339	9336339	PRJNA1339303	SAMN52637689	DOE Joint Genome Institute	2026-01-29
CANON_00443	GCF_054822385.1	REFSEQ	GCF_054822385.1	GCA_054822385.1	paired	Bradyrhizobium elkanii	29448	USDA 475	Contig	current		9840206	63.5	3	3	9525384	9525384	PRJNA1340401	SAMN52638723	DOE Joint Genome Institute	2026-01-29
CANON_00444	GCF_054822475.1	REFSEQ	GCF_054822475.1	GCA_054822475.1	paired	Bradyrhizobium elkanii	29448	USDA 4446	Contig	current		10068207	63.5	2	2	9773432	9773432	PRJNA1343823	SAMN52638821	DOE Joint Genome Institute	2026-01-29
CANON_00445	GCF_054822545.1	REFSEQ	GCF_054822545.1	GCA_054822545.1	paired	Bradyrhizobium elkanii	29448	USDA 495	Contig	current		9584355	63.5	2	2	9318169	9318169	PRJNA1339558	SAMN52638378	DOE Joint Genome Institute	2026-01-29
CANON_00446	GCF_054822725.1	REFSEQ	GCF_054822725.1	GCA_054822725.1	paired	Bradyrhizobium elkanii	29448	USDA 4514	Contig	current		9520245	63.5	2	2	9223690	9223690	PRJNA1340323	SAMN52637213	DOE Joint Genome Institute	2026-01-29
CANON_00447	GCF_054822815.1	REFSEQ	GCF_054822815.1	GCA_054822815.1	paired	Bradyrhizobium elkanii	29448	USDA 319	Contig	current		9325085	63.5	141	141	187922	187922	PRJNA1340028	SAMN52640907	DOE Joint Genome Institute	2026-01-29
CANON_00448	GCF_054822875.1	REFSEQ	GCF_054822875.1	GCA_054822875.1	paired	Bradyrhizobium elkanii	29448	USDA 491	Contig	current		9584429	63.5	2	2	9318268	9318268	PRJNA1339267	SAMN52639175	DOE Joint Genome Institute	2026-01-29
CANON_00449	GCF_054823035.1	REFSEQ	GCF_054823035.1	GCA_054823035.1	paired	Bradyrhizobium elkanii	29448	USDA 365	Contig	current		9495295	64	125	125	202448	202448	PRJNA1341277	SAMN52638665	DOE Joint Genome Institute	2026-01-29
CANON_00450	GCF_054889385.1	REFSEQ	GCF_054889385.1	GCA_054889385.1	paired	Bradyrhizobium elkanii	29448	5026	Scaffold	current		9061377	64	226	224	111851	112764	PRJNA1347421	SAMN52856786	UFRGS	2026-02-02
CANON_00451	GCF_055791125.1	REFSEQ	GCF_055791125.1	GCA_055791125.1	paired	Bradyrhizobium elkanii	29448	SEMIA 5011	Scaffold	current		9503893	63.5	170	169	184967	184967	PRJNA1347421	SAMN52858284	UFRGS	2026-03-10
CANON_00452	GCF_055791145.1	REFSEQ	GCF_055791145.1	GCA_055791145.1	paired	Bradyrhizobium elkanii	29448	SEMIA 5027	Scaffold	current		9893588	63.5	205	202	181493	181493	PRJNA1347421	SAMN52858315	UFRGS	2026-03-10
CANON_00453	GCF_058119575.1	REFSEQ	GCF_058119575.1	GCA_058119575.1	paired	Bradyrhizobium elkanii	29448	Y63-1	Complete Genome	current		9480563	63.5	2	2	9206650	9206650	PRJNA982612	SAMN35711646	Chinese Academy of Agricultural Sciences	2026-06-09
CANON_00454	GCF_058374615.1	REFSEQ	GCF_058374615.1	GCA_058374615.1	paired	Bradyrhizobium elkanii	29448	U1302	Contig	current		9485431	63.5	172	172	162741	162741	PRJNA1477576	SAMN60760987	INIA	2026-06-23
CANON_00455	GCF_058374655.1	REFSEQ	GCF_058374655.1	GCA_058374655.1	paired	Bradyrhizobium elkanii	29448	U1301	Contig	current		9591174	63.5	187	187	135335	135335	PRJNA1477576	SAMN60760986	INIA	2026-06-23
CANON_00456	GCA_024170525.1	GENBANK		GCA_024170525.1	unpaired	Bradyrhizobium elkanii	29448	USDA 13	Contig	current		10327751	63.5	4	4	9529021	9529021	PRJNA708366	SAMN18243431	DOE Joint Genome Institute	2022-07-06
CANON_00457	GCA_024170535.1	GENBANK		GCA_024170535.1	unpaired	Bradyrhizobium elkanii	29448	USDA 15	Contig	current		9656734	63.5	2	2	9361036	9361036	PRJNA708373	SAMN18242785	DOE Joint Genome Institute	2022-07-06
CANON_00458	GCA_024171285.1	GENBANK		GCA_024171285.1	unpaired	Bradyrhizobium elkanii	29448	USDA 11	Contig	current		9434883	63.5	3	3	8943017	8943017	PRJNA708365	SAMN18243081	DOE Joint Genome Institute	2022-07-06
CANON_00459	GCA_030583525.1	GENBANK		GCA_030583525.1	unpaired	Bradyrhizobium elkanii	29448	K02K-Be	Complete Genome	current		9354584	64	1	1	9354584	9354584	PRJNA962158	SAMN34405177	VEIL Bradyrhizobium group	2023-08-02
CANON_00460	GCF_000257685.2	REFSEQ	GCF_000257685.2	GCA_000257685.2	paired	Bradyrhizobium elkanii 587	1156987	587	Contig	suppressed		8673157		2430	2430	6929	6929	PRJNA86995	SAMN02471378	INCT of Biological Nitgrogen Fixation	2012-04-05
CANON_00461	GCF_000261505.1	REFSEQ	GCF_000261505.1	GCA_000261505.1	paired	Bradyrhizobium elkanii CCBAU 05737	1128203	CCBAU 05737	Contig	current		9773178	63.5	751	751	25010	25010	PRJNA77219	SAMN02469485	China Agricultural University	2012-05-03
CANON_00462	GCF_000261525.1	REFSEQ	GCF_000261525.1	GCA_000261525.1	paired	Bradyrhizobium elkanii CCBAU 43297	1128204	CCBAU 43297	Contig	current		9347700	63.5	654	654	25032	25032	PRJNA77219	SAMN02469464	China Agricultural University	2012-05-03
CANON_00463	GCF_000472765.1	REFSEQ	GCF_000472765.1	GCA_000472765.1	paired	Bradyrhizobium elkanii USDA 3254	1079479	USDA 3254	Scaffold	suppressed		8979722	64	87	85	249311	288434	PRJNA165319	SAMN02441448	DOE Joint Genome Institute	2013-09-30
CANON_00464	GCF_000473005.1	REFSEQ	GCF_000473005.1	GCA_000473005.1	paired	Bradyrhizobium elkanii USDA 3259	1079466	USDA 3259	Scaffold	suppressed		8722461	64	102	101	245986	245986	PRJNA162999	SAMN02440775	DOE Joint Genome Institute	2013-09-30
CANON_00465	GCF_012871055.1	REFSEQ	GCF_012871055.1	GCA_012871055.1	paired	Bradyrhizobium elkanii USDA 61	1275962	USDA 61	Complete Genome	current		9649995	63.5	2	2	9548186	9548186	PRJDB717	SAMD00067082	Kyoto Sangyo University	2020-04-21
CANON_00466	GCF_024809255.1	REFSEQ	GCF_024809255.1	GCA_024809255.1	paired	Bradyrhizobium elkanii USDA 61	1275962	USDA 61	Contig	current		9622165	63.5	2	2	9520259	9520259	PRJNA834255	SAMN28058308	DOE Joint Genome Institute	2022-08-31
CANON_00467	GCF_023278185.1	REFSEQ	GCF_023278185.1	GCA_023278185.1	paired	Bradyrhizobium elkanii USDA 76	398525	USDA 76	Complete Genome	current	reference genome	9518205	63.5	2	2	9115474	9115474	PRJNA686128	SAMN17108307	VEIL Bradyrhizobium group	2022-05-09
CANON_00468	GCF_000379145.1	REFSEQ	GCF_000379145.1	GCA_000379145.1	paired	Bradyrhizobium elkanii USDA 76	398525	USDA 76	Scaffold	current		9484767	63.5	25	2	1804836	9116505	PRJNA162247	SAMN02261261	JGI	2013-04-23
CANON_00469	GCF_000519225.1	REFSEQ	GCF_000519225.1	GCA_000519225.1	paired	Bradyrhizobium elkanii USDA 94	398524	USDA 94	Scaffold	current		9558895	63.5	174	164	138573	138573	PRJNA165317	SAMN02584917	DOE Joint Genome Institute	2014-01-13
CANON_00470	GCF_030584845.1	REFSEQ	GCF_030584845.1	GCA_030584845.1	paired	Bradyrhizobium elkanii USDA 94	398524	USDA 94	Complete Genome	current		9918144	63.5	3	3	9483676	9483676	PRJNA962164	SAMN34405185	VEIL Bradyrhizobium group	2023-08-02
CANON_00471	GCF_000472865.1	REFSEQ	GCF_000472865.1	GCA_000472865.1	paired	Bradyrhizobium elkanii WSM2783	1038860	WSM2783	Scaffold	current		9902361	62.5	218	217	101503	101503	PRJNA163061	SAMN02441450	DOE Joint Genome Institute	2013-09-30
CANON_00472	GCF_001189235.2	REFSEQ	GCF_001189235.2	GCA_001189235.2	paired	Bradyrhizobium embrapense	630921	SEMIA 6208	Contig	current	reference genome	8267832	64	36	36	809967	809967	PRJNA287423	SAMN03782074	Embrapa Soja	2016-05-09
CANON_00473	GCF_054822205.1	REFSEQ	GCF_054822205.1	GCA_054822205.1	paired	Bradyrhizobium embrapense	630921	USDA 4453	Contig	current		8280367	64	1	1	8280367	8280367	PRJNA1339358	SAMN52638957	DOE Joint Genome Institute	2026-01-29
CANON_00474	GCF_054822625.1	REFSEQ	GCF_054822625.1	GCA_054822625.1	paired	Bradyrhizobium embrapense	630921	USDA 4460	Contig	current		8372567	64	1	1	8372567	8372567	PRJNA1339209	SAMN52638819	DOE Joint Genome Institute	2026-01-29
CANON_00475	GCF_042430365.1	REFSEQ	GCF_042430365.1	GCA_042430365.1	paired	Bradyrhizobium erythrophlei	1437360	CGMCC 1.13002	Scaffold	current	reference genome	9470608	63.5	359	274	67636	93627	PRJNA595761	SAMN43281877	Institution of Microbiology, Chinese Academy of Science(WDCM)	2024-09-28
CANON_00476	GCF_056156525.1	REFSEQ	GCF_056156525.1	GCA_056156525.1	paired	Bradyrhizobium erythrophlei	1437360	CCBAU 53325T	Contig	current		9544505	63.5	357	357	94415	94415	PRJNA1293807	SAMN50045065	The James Hutton Institute	2026-03-19
CANON_00477	GCF_900105845.1	REFSEQ	GCF_900105845.1	GCA_900105845.1	paired	Bradyrhizobium erythrophlei	1437360	MT12	Contig	current		8967172	64	2	2	8910901	8910901	PRJEB16459	SAMN05444164	DOE - JOINT GENOME INSTITUTE	2016-10-22
CANON_00478	GCF_900129425.1	REFSEQ	GCF_900129425.1	GCA_900129425.1	paired	Bradyrhizobium erythrophlei	1437360	GAS138	Chromosome	current		9092136	61.5	1	1	9092036	9092136	PRJEB18194	SAMN05443248	DOE - JOINT GENOME INSTITUTE	2016-12-02
CANON_00479	GCF_900129505.1	REFSEQ	GCF_900129505.1	GCA_900129505.1	paired	Bradyrhizobium erythrophlei	1437360	GAS242	Chromosome	current		9184751	62	1	1	9184651	9184751	PRJEB18202	SAMN05444169	DOE - JOINT GENOME INSTITUTE	2016-12-02
CANON_00480	GCF_900129675.1	REFSEQ	GCF_900129675.1	GCA_900129675.1	paired	Bradyrhizobium erythrophlei	1437360	GAS478	Contig	suppressed		11738562	61.5	4	4	8652723	8652723	PRJEB18219	SAMN05443247	DOE - JOINT GENOME INSTITUTE	2016-12-16
CANON_00481	GCF_900142985.1	REFSEQ	GCF_900142985.1	GCA_900142985.1	paired	Bradyrhizobium erythrophlei	1437360	GAS401	Chromosome	current		7525217	61	1	1	7525117	7525217	PRJEB18408	SAMN05444170	DOE - JOINT GENOME INSTITUTE	2016-12-02
CANON_00482	GCF_056837965.1	REFSEQ	GCF_056837965.1	GCA_056837965.1	paired	Bradyrhizobium ferriligni	1534803	CCBAU51502T	Contig	current	reference genome	9231438	63.5	449	449	91994	91994	PRJNA1293807	SAMN50045066	The James Hutton Institute	2026-04-21
CANON_00483	GCF_002795245.1	REFSEQ	GCF_002795245.1	GCA_002795245.1	paired	Bradyrhizobium forestalis	1419263	INPA54B	Scaffold	current	reference genome	8252029	64	189	183	151517	169127	PRJNA418781	SAMN08035463	Universidade Federal de Lavras	2017-11-22
CANON_00484	GCF_004570865.1	REFSEQ	GCF_004570865.1	GCA_004570865.1	paired	Bradyrhizobium frederickii	2560054	CNPSo 3426	Contig	current	reference genome	8294086	64	145	145	304001	304001	PRJNA529073	SAMN11254746	Empresa Brasileira de Pesquisa Agropecuaria	2019-04-02
CANON_00485	GCF_004571045.1	REFSEQ	GCF_004571045.1	GCA_004571045.1	paired	Bradyrhizobium frederickii	2560054	CNPSo 3424	Contig	current		8325748	64	144	144	328664	328664	PRJNA529075	SAMN11254751	Empresa Brasileira de Pesquisa Agropecuaria	2019-04-02
CANON_00486	GCF_049949285.1	REFSEQ	GCF_049949285.1	GCA_049949285.1	paired	Bradyrhizobium ganzhouense	1179767	JCM19881	Complete Genome	current	reference genome	8909570	63	1	1	8909570	8909570	PRJNA1205718	SAMN46055376	Facultad de Ciencias, Udelar	2025-04-28
CANON_00487	GCF_000261685.1	REFSEQ	GCF_000261685.1	GCA_000261685.1	paired	Bradyrhizobium genomosp. I (2014)	2683269	CCBAU 43298	Contig	current		7916986	64	508	508	29185	29185	PRJNA77219	SAMN02469467	China Agricultural University	2012-05-03
CANON_00488	GCF_000261705.1	REFSEQ	GCF_000261705.1	GCA_000261705.1	paired	Bradyrhizobium genomosp. III	2683271	CCBAU 15544	Contig	current		8484383	63.5	612	612	26160	26160	PRJNA77219	SAMN02469468	China Agricultural University	2012-05-03
CANON_00489	GCF_000261725.1	REFSEQ	GCF_000261725.1	GCA_000261725.1	paired	Bradyrhizobium genomosp. III	2683271	CCBAU 15615	Contig	current		8852539	63.5	453	453	44201	44201	PRJNA77219	SAMN02469484	China Agricultural University	2012-05-03
CANON_00490	GCF_000261745.1	REFSEQ	GCF_000261745.1	GCA_000261745.1	paired	Bradyrhizobium genomosp. III	2683271	CCBAU 15635	Contig	current		8288715	64	456	456	34535	34535	PRJNA77219	SAMN02469488	China Agricultural University	2012-05-03
CANON_00491	GCF_049949275.1	REFSEQ	GCF_049949275.1	GCA_049949275.1	paired	Bradyrhizobium genosp. A	83626	BDV5028	Complete Genome	current		8387507	63	1	1	8387507	8387507	PRJNA662585	SAMN48030122	Universite Claude Bernard - Lyon 1	2025-04-28
CANON_00492	GCF_015624485.1	REFSEQ	GCF_015624485.1	GCA_015624485.1	paired	Bradyrhizobium genosp. L	83637	BDV5419	Complete Genome	current		7401610	64.5	1	1	7401610	7401610	PRJNA662585	SAMN16089660	Universite Claude Bernard - Lyon 1	2020-11-20
CANON_00493	GCF_049949265.1	REFSEQ	GCF_049949265.1	GCA_049949265.1	paired	Bradyrhizobium genosp. P	83641	BDV5111	Complete Genome	current		9941418	62.5	1	1	9941418	9941418	PRJNA662585	SAMN48030123	Universite Claude Bernard - Lyon 1	2025-04-28
CANON_00494	GCF_004212635.1	REFSEQ	GCF_004212635.1	GCA_004212635.1	paired	Bradyrhizobium genosp. SA-3	508868	Rp7b	Contig	current		8722424	63	388	388	50475	50475	PRJNA420431	SAMN08398334	University of Pretoria	2019-02-19
CANON_00495	GCF_000473125.1	REFSEQ	GCF_000473125.1	GCA_000473125.1	paired	Bradyrhizobium genosp. SA-4 str. CB756	936455	CB756	Scaffold	current		9826880	63.5	11	2	1566987	9823581	PRJNA87029	SAMN02441117	JGI	2013-09-30
CANON_00496	GCF_016031655.1	REFSEQ	GCF_016031655.1	GCA_016031655.1	paired	Bradyrhizobium glycinis	2751812	CNPSo 4016	Contig	current	reference genome	7794411	63.5	83	83	202190	202190	PRJNA645160	SAMN15496426	Empresa Brasileira de Pesquisa Agropecuaria	2020-12-14
