canonical_id	gcf_accession	gca_accession	pair_status	missing_partner_accession	original_representative_accession	original_representative_status	selected_accession	selected_source	selected_status	selection_reason	organism_name	tax_id	strain	assembly_level	genome_size_bp	gc_percent	number_of_contigs	contig_n50	genome_size_modified_z	gc_percent_modified_z	metadata_decision	pangenome_contiguity_class	synteny_class	sequence_qc_status	taxonomy_qc_status	flags
CANON_00308	GCF_017565645.3	GCA_017565645.3	paired		GCF_017565645.3	current	GCF_017565645.3	REFSEQ	current	current_refseq_preferred	Bradyrhizobium barranii subsp. barranii	2823807	144S4	Complete Genome	11399526	63	4	10692809	2.380815	-0.6745	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00309	GCF_017565685.3	GCA_017565685.3	paired		GCF_017565685.3	current	GCF_017565685.3	REFSEQ	current	current_refseq_preferred	Bradyrhizobium barranii subsp. apii	2819348	38S5	Complete Genome	10530141	63.5	4	9953276	1.700239	0.0	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00310	GCF_017614905.1	GCA_017614905.1	paired		GCF_017614905.1	current	GCF_017614905.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium neotropicale	1497615	MPMI1	Contig	8942605	62.5	200	347876	0.457478	-1.349	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00311	GCF_017788805.1	GCA_017788805.1	paired		GCF_017788805.1	current	GCF_017788805.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium vignae	1549949	ISRA400	Contig	7857394	63.5	157	87613	-0.392052	0.0	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00312	GCF_017831945.1	GCA_017831945.1	paired		GCF_017831945.1	current	GCF_017831945.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium diazoefficiens	1355477	USDA 500	Contig	9247384	64	1	9247384	0.696066	0.6745	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00313	GCF_017831985.1	GCA_017831985.1	paired		GCF_017831985.1	current	GCF_017831985.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium diazoefficiens	1355477	USDA 300	Contig	9181317	64	1	9181317	0.644347	0.6745	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00314	GCF_017834125.1	GCA_017834125.1	paired		GCF_017834125.1	current	GCF_017834125.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium elkanii	29448	USDA 406	Contig	9929849	63.5	2	9879115	1.230316	0.0	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00315		GCA_017849515.1	unpaired		GCA_017849515.1	current	GCA_017849515.1	GENBANK	current	current_genbank_singleton	Bradyrhizobium sp.	376		Contig	4901094	69	39	253413	-2.706314	7.4195	manual_review	primary_contiguity_candidate	synteny_candidate	pending	pending	gc_percent_outlier
CANON_00316	GCF_017876705.1	GCA_017876705.1	paired		GCF_017876705.1	current	GCF_017876705.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium elkanii	29448	USDA 130	Contig	9664136	63.5	3	9264663	1.02231	0.0	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00317	GCF_017881085.1	GCA_017881085.1	paired		GCF_017881085.1	current	GCF_017881085.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp.	376		Contig	5360128	63.5	494	14497	-2.346972	0.0	retain_candidate	secondary_fragmented	presence_absence_only	pending	pending	pangenome_fragmented;synteny_fragmented
CANON_00318	GCF_018129385.1	GCA_018129385.1	paired		GCF_018129385.1	current	GCF_018129385.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium lablabi	722472	SZCCT0009	Contig	7240814	63	63	260466	-0.874725	-0.6745	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00319	GCF_018129405.1	GCA_018129405.1	paired		GCF_018129405.1	current	GCF_018129405.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium iriomotense	441950	SZCCT0007	Contig	8103393	64.5	55	296517	-0.199478	1.349	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00320	GCF_018129415.1	GCA_018129415.1	paired		GCF_018129415.1	current	GCF_018129415.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. AUGA SZCCT0042	2807651	AUGA SZCCT0042	Contig	7986826	62.5	70	230593	-0.290729	-1.349	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00321	GCF_018129445.1	GCA_018129445.1	paired		GCF_018129445.1	suppressed	GCA_018129445.1	GENBANK	current	fallback_current_genbank	Bradyrhizobium viridifuturi	1654716	SZCCT0047	Contig	7749914	64.5	54	393011	-0.47619	1.349	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	suppressed_or_unavailable_refseq_fallback
CANON_00322	GCF_018129465.1	GCA_018129465.1	paired		GCF_018129465.1	current	GCF_018129465.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium liaoningense	43992	SZCCT0008	Contig	7566010	64.5	40	526761	-0.620154	1.349	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00323	GCF_018129485.1	GCA_018129485.1	paired		GCF_018129485.1	current	GCF_018129485.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. AUGA SZCCT0051	2807654	AUGA SZCCT0051	Contig	8505807	64.5	30	786588	0.115542	1.349	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00324	GCF_018129505.1	GCA_018129505.1	paired		GCF_018129505.1	suppressed	GCA_018129505.1	GENBANK	current	fallback_current_genbank	Bradyrhizobium viridifuturi	1654716	SZCCT0101	Contig	7957505	64.5	51	288104	-0.313682	1.349	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	suppressed_or_unavailable_refseq_fallback
CANON_00325	GCF_018129525.1	GCA_018129525.1	paired		GCF_018129525.1	current	GCF_018129525.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium denitrificans	2734912	SZCCT0094	Contig	8495489	65	115	175090	0.107465	2.0235	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00326	GCF_018129535.1	GCA_018129535.1	paired		GCF_018129535.1	suppressed	GCA_018129535.1	GENBANK	current	fallback_current_genbank	Bradyrhizobium viridifuturi	1654716	SZCCT0052	Contig	7742130	64.5	46	333978	-0.482283	1.349	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	suppressed_or_unavailable_refseq_fallback
CANON_00327	GCF_018129565.1	GCA_018129565.1	paired		GCF_018129565.1	current	GCF_018129565.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. AUGA SZCCT0105	2807655	AUGA SZCCT0105	Contig	8500810	64.5	27	719740	0.11163	1.349	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00328	GCF_018129585.1	GCA_018129585.1	paired		GCF_018129585.1	suppressed	GCA_018129585.1	GENBANK	current	fallback_current_genbank	Bradyrhizobium viridifuturi	1654716	SZCCT0108	Contig	7748108	64.5	52	270913	-0.477603	1.349	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	suppressed_or_unavailable_refseq_fallback
CANON_00329	GCF_018129605.1	GCA_018129605.1	paired		GCF_018129605.1	current	GCF_018129605.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. U87765 SZCCT0109	2807656	U87765 SZCCT0109	Contig	7752385	66.5	20	724207	-0.474255	4.047	manual_review	primary_contiguity_candidate	synteny_candidate	pending	pending	gc_percent_outlier
CANON_00330	GCF_018129645.1	GCA_018129645.1	paired		GCF_018129645.1	suppressed	GCA_018129645.1	GENBANK	current	fallback_current_genbank	Bradyrhizobium diazoefficiens	1355477	SZCCT0113	Contig	7151866	64	65	218178	-0.944356	0.6745	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	suppressed_or_unavailable_refseq_fallback
CANON_00331	GCF_018129665.1	GCA_018129665.1	paired		GCF_018129665.1	current	GCF_018129665.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. U87765 SZCCT0110	2807657	U87765 SZCCT0110	Contig	7755627	66.5	14	1934489	-0.471717	4.047	manual_review	primary_contiguity_candidate	synteny_candidate	pending	pending	gc_percent_outlier
CANON_00332	GCF_018129685.1	GCA_018129685.1	paired		GCF_018129685.1	current	GCF_018129685.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium manausense	989370	SZCCT0118	Contig	7480816	63.5	58	333235	-0.686846	0.0	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00333	GCF_018129705.1	GCA_018129705.1	paired		GCF_018129705.1	suppressed	GCA_018129705.1	GENBANK	current	fallback_current_genbank	Bradyrhizobium diazoefficiens	1355477	SZCCT0122	Contig	7148721	64	59	215940	-0.946818	0.6745	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	suppressed_or_unavailable_refseq_fallback
CANON_00334	GCF_018129725.1	GCA_018129725.1	paired		GCF_018129725.1	current	GCF_018129725.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. AUGA SZCCT0124	2807658	AUGA SZCCT0124	Contig	8498712	64.5	30	870286	0.109988	1.349	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00335	GCF_018129745.1	GCA_018129745.1	paired		GCF_018129745.1	suppressed	GCA_018129745.1	GENBANK	current	fallback_current_genbank	Bradyrhizobium viridifuturi	1654716	SZCCT0127	Contig	7753700	64.5	47	400028	-0.473226	1.349	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	suppressed_or_unavailable_refseq_fallback
CANON_00336	GCF_018129755.1	GCA_018129755.1	paired		GCF_018129755.1	suppressed	GCA_018129755.1	GENBANK	current	fallback_current_genbank	Bradyrhizobium diazoefficiens	1355477	SZCCT0126	Contig	7119512	64	56	237121	-0.969683	0.6745	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	suppressed_or_unavailable_refseq_fallback
CANON_00337	GCF_018129785.1	GCA_018129785.1	paired		GCF_018129785.1	suppressed	GCA_018129785.1	GENBANK	current	fallback_current_genbank	Bradyrhizobium diazoefficiens	1355477	SZCCT0130	Contig	7146295	64	63	226176	-0.948717	0.6745	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	suppressed_or_unavailable_refseq_fallback
CANON_00338	GCF_018129805.1	GCA_018129805.1	paired		GCF_018129805.1	suppressed	GCA_018129805.1	GENBANK	current	fallback_current_genbank	Bradyrhizobium diazoefficiens	1355477	SZCCT0132	Contig	7121551	64	59	237121	-0.968087	0.6745	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	suppressed_or_unavailable_refseq_fallback
CANON_00339	GCF_018129825.1	GCA_018129825.1	paired		GCF_018129825.1	current	GCF_018129825.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. U87765 SZCCT0131	2807659	U87765 SZCCT0131	Contig	7759065	66.5	19	1216584	-0.469026	4.047	manual_review	primary_contiguity_candidate	synteny_candidate	pending	pending	gc_percent_outlier
CANON_00340	GCF_018129845.1	GCA_018129845.1	paired		GCF_018129845.1	current	GCF_018129845.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. U87765 SZCCT0134	2807660	U87765 SZCCT0134	Contig	7762817	66.5	17	1520672	-0.466089	4.047	manual_review	primary_contiguity_candidate	synteny_candidate	pending	pending	gc_percent_outlier
CANON_00341	GCF_018129855.1	GCA_018129855.1	paired		GCF_018129855.1	suppressed	GCA_018129855.1	GENBANK	current	fallback_current_genbank	Bradyrhizobium liaoningense	43992	SZCCT0133	Contig	10464760	63	512	58279	1.649057	-0.6745	retain_candidate	secondary_fragmented	presence_absence_only	pending	pending	pangenome_fragmented;suppressed_or_unavailable_refseq_fallback;synteny_fragmented
CANON_00342	GCF_018129885.1	GCA_018129885.1	paired		GCF_018129885.1	suppressed	GCA_018129885.1	GENBANK	current	fallback_current_genbank	Bradyrhizobium viridifuturi	1654716	SZCCT0136	Contig	7747383	64.5	53	257838	-0.478171	1.349	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	suppressed_or_unavailable_refseq_fallback
CANON_00343	GCF_018129905.1	GCA_018129905.1	paired		GCF_018129905.1	suppressed	GCA_018129905.1	GENBANK	current	fallback_current_genbank	Bradyrhizobium viridifuturi	1654716	SZCCT0135	Contig	7745264	64.5	45	393011	-0.47983	1.349	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	suppressed_or_unavailable_refseq_fallback
CANON_00344	GCF_018129925.1	GCA_018129925.1	paired		GCF_018129925.1	suppressed	GCA_018129925.1	GENBANK	current	fallback_current_genbank	Bradyrhizobium diazoefficiens	1355477	SZCCT0137	Contig	7134077	64	58	256594	-0.958282	0.6745	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	suppressed_or_unavailable_refseq_fallback
CANON_00345	GCF_018129935.1	GCA_018129935.1	paired		GCF_018129935.1	suppressed	GCA_018129935.1	GENBANK	current	fallback_current_genbank	Bradyrhizobium diazoefficiens	1355477	SZCCT0139	Contig	7141560	64	61	237121	-0.952424	0.6745	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	suppressed_or_unavailable_refseq_fallback
CANON_00346	GCF_018129965.1	GCA_018129965.1	paired		GCF_018129965.1	suppressed	GCA_018129965.1	GENBANK	current	fallback_current_genbank	Bradyrhizobium diazoefficiens	1355477	SZCCT0138	Contig	7132833	64	54	221556	-0.959255	0.6745	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	suppressed_or_unavailable_refseq_fallback
CANON_00347	GCF_018129985.1	GCA_018129985.1	paired		GCF_018129985.1	current	GCF_018129985.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. SZCCT0148	3697513	SZCCT0148	Contig	7171628	64	42	488983	-0.928886	0.6745	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00348	GCF_018129995.1	GCA_018129995.1	paired		GCF_018129995.1	current	GCF_018129995.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. SZCCT0153	3697514	SZCCT0153	Contig	7415067	64.5	22	1033411	-0.738316	1.349	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00349	GCF_018130025.1	GCA_018130025.1	paired		GCF_018130025.1	suppressed	GCA_018130025.1	GENBANK	current	fallback_current_genbank	Bradyrhizobium viridifuturi	1654716	SZCCT0140	Contig	7954984	64.5	47	401898	-0.315656	1.349	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	suppressed_or_unavailable_refseq_fallback
CANON_00350	GCF_018130035.1	GCA_018130035.1	paired		GCF_018130035.1	current	GCF_018130035.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium liaoningense	43992	SZCCT0154	Contig	7423204	64.5	38	290345	-0.731946	1.349	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00351	GCF_018130065.1	GCA_018130065.1	paired		GCF_018130065.1	current	GCF_018130065.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. AUGA SZCCT0158	2807661	AUGA SZCCT0158	Contig	7354080	62.5	67	237752	-0.786058	-1.349	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00352	GCF_018130085.1	GCA_018130085.1	paired		GCF_018130085.1	current	GCF_018130085.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. AUGA SZCCT0169	2807663	AUGA SZCCT0169	Contig	7394210	62.5	77	170371	-0.754643	-1.349	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00353	GCF_018130105.1	GCA_018130105.1	paired		GCF_018130105.1	current	GCF_018130105.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. AUGA SZCCT0160	2807662	AUGA SZCCT0160	Contig	7814110	62.5	62	246984	-0.425935	-1.349	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00354	GCF_018130125.1	GCA_018130125.1	paired		GCF_018130125.1	current	GCF_018130125.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. AUGA SZCCT0177	2807665	AUGA SZCCT0177	Contig	7963554	62.5	74	174555	-0.308947	-1.349	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00355	GCF_018130145.1	GCA_018130145.1	paired		GCF_018130145.1	current	GCF_018130145.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. AUGA SZCCT0176	2807664	AUGA SZCCT0176	Contig	7792420	62.5	52	332031	-0.442915	-1.349	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00356	GCF_018130165.1	GCA_018130165.1	paired		GCF_018130165.1	current	GCF_018130165.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. JYMT SZCCT0180	2807666	JYMT SZCCT0180	Contig	8036090	62.5	50	253542	-0.252164	-1.349	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00357	GCF_018130185.1	GCA_018130185.1	paired		GCF_018130185.1	current	GCF_018130185.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. AUGA SZCCT0182	2807667	AUGA SZCCT0182	Contig	8851502	62	114	153318	0.38616	-2.0235	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00358	GCF_018130205.1	GCA_018130205.1	paired		GCF_018130205.1	current	GCF_018130205.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. AUGA SZCCT0222	2807668	AUGA SZCCT0222	Contig	7901827	62.5	104	131603	-0.357268	-1.349	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00359	GCF_018130215.1	GCA_018130215.1	paired		GCF_018130215.1	current	GCF_018130215.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium jicamae	280332	SZCCT0215	Contig	8547214	64	135	136341	0.147956	0.6745	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00360	GCF_018130245.1	GCA_018130245.1	paired		GCF_018130245.1	current	GCF_018130245.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. SZCCT0231	3697515	SZCCT0231	Contig	7359052	64.5	44	328915	-0.782166	1.349	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00361	GCF_018130265.1	GCA_018130265.1	paired		GCF_018130265.1	current	GCF_018130265.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium ottawaense	931866	SZCCT0234	Contig	7436832	64.5	54	324520	-0.721278	1.349	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00362	GCF_018130275.1	GCA_018130275.1	paired		GCF_018130275.1	suppressed	GCA_018130275.1	GENBANK	current	fallback_current_genbank	Bradyrhizobium liaoningense	43992	SZCCT0233	Contig	10339975	63.5	517	63959	1.551373	0.0	retain_candidate	secondary_fragmented	presence_absence_only	pending	pending	pangenome_fragmented;suppressed_or_unavailable_refseq_fallback;synteny_fragmented
CANON_00363	GCF_018130305.1	GCA_018130305.1	paired		GCF_018130305.1	suppressed	GCA_018130305.1	GENBANK	current	fallback_current_genbank	Bradyrhizobium diazoefficiens	1355477	SZCCT0235	Contig	7242859	64.5	33	417027	-0.873124	1.349	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	suppressed_or_unavailable_refseq_fallback
CANON_00364	GCF_018130325.1	GCA_018130325.1	paired		GCF_018130325.1	current	GCF_018130325.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. AUGA SZCCT0274	2807670	AUGA SZCCT0274	Contig	7439330	62.5	77	163127	-0.719322	-1.349	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00365	GCF_018130345.1	GCA_018130345.1	paired		GCF_018130345.1	current	GCF_018130345.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. AUGA SZCCT0240	2807669	AUGA SZCCT0240	Contig	7584886	62.5	62	197765	-0.605377	-1.349	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00366	GCF_018130365.1	GCA_018130365.1	paired		GCF_018130365.1	current	GCF_018130365.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium japonicum	375	SZCCT0280	Contig	9032875	64	43	537106	0.528143	0.6745	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00367	GCF_018130385.1	GCA_018130385.1	paired		GCF_018130385.1	current	GCF_018130385.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. AUGA SZCCT0283	2807671	AUGA SZCCT0283	Contig	8068558	62.5	111	230021	-0.226747	-1.349	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00368	GCF_018130405.1	GCA_018130405.1	paired		GCF_018130405.1	current	GCF_018130405.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium ottawaense	931866	SZCCT0286	Contig	7553862	64.5	38	422884	-0.629664	1.349	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00369	GCF_018130425.1	GCA_018130425.1	paired		GCF_018130425.1	current	GCF_018130425.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium ottawaense	931866	SZCCT0284	Contig	8343549	64	100	336855	-0.011478	0.6745	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00370	GCF_018130445.1	GCA_018130445.1	paired		GCF_018130445.1	suppressed	GCA_018130445.1	GENBANK	current	fallback_current_genbank	Bradyrhizobium liaoningense	43992	SZCCT0285	Contig	10239478	63.5	511	53353	1.472701	0.0	retain_candidate	secondary_fragmented	presence_absence_only	pending	pending	pangenome_fragmented;suppressed_or_unavailable_refseq_fallback;synteny_fragmented
CANON_00371	GCF_018130465.1	GCA_018130465.1	paired		GCF_018130465.1	current	GCF_018130465.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium canariense	255045	SZCCT0289	Contig	7511607	64	32	398686	-0.662742	0.6745	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00372	GCF_018130485.1	GCA_018130485.1	paired		GCF_018130485.1	current	GCF_018130485.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium diazoefficiens	1355477	SZCCT0287	Contig	9626510	63.5	496	52181	0.992855	0.0	retain_candidate	primary_contiguity_candidate	presence_absence_only	pending	pending	synteny_fragmented
CANON_00373	GCF_018130505.1	GCA_018130505.1	paired		GCF_018130505.1	current	GCF_018130505.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium tropiciagri	312253	SZCCT0294	Contig	7494187	65	32	449340	-0.676379	2.0235	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00374	GCF_018130525.1	GCA_018130525.1	paired		GCF_018130525.1	suppressed	GCA_018130525.1	GENBANK	current	fallback_current_genbank	Bradyrhizobium liaoningense	43992	SZCCT0293	Contig	10642753	63.5	534	63984	1.788394	0.0	retain_candidate	secondary_fragmented	presence_absence_only	pending	pending	pangenome_fragmented;suppressed_or_unavailable_refseq_fallback;synteny_fragmented
CANON_00375	GCF_018130545.1	GCA_018130545.1	paired		GCF_018130545.1	current	GCF_018130545.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium tropiciagri	312253	SZCCT0338	Contig	8382111	64	20	868356	0.018709	0.6745	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00376	GCF_018130565.1	GCA_018130565.1	paired		GCF_018130565.1	current	GCF_018130565.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium liaoningense	43992	SZCCT0337	Contig	7930038	64	58	448112	-0.335184	0.6745	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00377	GCF_018130585.1	GCA_018130585.1	paired		GCF_018130585.1	current	GCF_018130585.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium diazoefficiens	1355477	SZCCT0340	Contig	9646558	63.5	509	52235	1.008549	0.0	retain_candidate	secondary_fragmented	presence_absence_only	pending	pending	pangenome_fragmented;synteny_fragmented
CANON_00378	GCF_018130595.1	GCA_018130595.1	paired		GCF_018130595.1	suppressed	GCA_018130595.1	GENBANK	current	fallback_current_genbank	Bradyrhizobium liaoningense	43992	SZCCT0342	Contig	10181330	63.5	426	67591	1.427181	0.0	retain_candidate	primary_contiguity_candidate	presence_absence_only	pending	pending	suppressed_or_unavailable_refseq_fallback;synteny_fragmented
CANON_00379	GCF_018130615.1	GCA_018130615.1	paired		GCF_018130615.1	current	GCF_018130615.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium manausense	989370	SZCCT0344	Contig	7776092	64	49	303339	-0.455697	0.6745	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00380	GCF_018130635.1	GCA_018130635.1	paired		GCF_018130635.1	current	GCF_018130635.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium diazoefficiens	1355477	SZCCT0341	Contig	9600591	63.5	490	52094	0.972565	0.0	retain_candidate	primary_contiguity_candidate	presence_absence_only	pending	pending	synteny_fragmented
CANON_00381	GCF_018130665.1	GCA_018130665.1	paired		GCF_018130665.1	current	GCF_018130665.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium manausense	989370	SZCCT0345	Contig	7885802	63.5	34	505207	-0.369813	0.0	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00382	GCF_018130685.1	GCA_018130685.1	paired		GCF_018130685.1	current	GCF_018130685.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium liaoningense	43992	SZCCT0347	Contig	7608398	64.5	17	1030357	-0.586972	1.349	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00383	GCF_018130695.1	GCA_018130695.1	paired		GCF_018130695.1	current	GCF_018130695.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium jicamae	280332	SZCCT0349	Contig	8680666	64	66	234736	0.252426	0.6745	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00384	GCF_018130725.1	GCA_018130725.1	paired		GCF_018130725.1	current	GCF_018130725.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium liaoningense	43992	SZCCT0396	Contig	8274914	64.5	35	567320	-0.065207	1.349	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00385	GCF_018130735.1	GCA_018130735.1	paired		GCF_018130735.1	current	GCF_018130735.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium japonicum	375	SZCCT0395	Contig	8637816	64	47	422786	0.218882	0.6745	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00386	GCF_018130765.1	GCA_018130765.1	paired		GCF_018130765.1	current	GCF_018130765.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium iriomotense	441950	SZCCT0346	Contig	8380017	64.5	56	257931	0.01707	1.349	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00387	GCF_018130785.1	GCA_018130785.1	paired		GCF_018130785.1	current	GCF_018130785.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium liaoningense	43992	SZCCT0399	Contig	8301925	64	68	240128	-0.044062	0.6745	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00388	GCF_018130795.1	GCA_018130795.1	paired		GCF_018130795.1	current	GCF_018130795.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium japonicum	375	SZCCT0402	Contig	8593443	64	19	936985	0.184145	0.6745	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
